Timestamp,Latitude,Longitude,Event Title,Note
7/2/2013 2:22,48.51383,2.21343,Nyala,"""Work it baby, work it."""
7/3/2013 3:33,41.30744,-73.392234,New York City,"""Work it baby, work it."""
7/4/2013 4:44,42.51383,22.21343,Sleeping,"""Work it baby, work it."""
7/5/2013 5:55,38.1117,-73.392234,Drinking,"""Work it baby, work it."""
7/6/2013 7:06,35.1117,-73.392234,Eating,"""Work it baby, work it."""
7/7/2013 8:17,32.1117,-74.413963,Awesome interns!,"""Work it baby, work it."""
7/8/2013 9:28,29.1117,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/9/2013 10:39,26.1117,-73.392234,Awesome interns!,"""Uh, uh, uh. Work it."""
7/10/2013 11:50,23.1117,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/11/2013 13:01,20.1117,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/12/2013 14:12,17.1117,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/13/2013 15:23,14.1117,-74.413963,Awesome interns!,"""Work it baby, work it."""
7/14/2013 16:34,11.1117,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/15/2013 17:45,8.1117,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/16/2013 18:56,5.1117,-74.413963,Awesome interns!,"""Work it baby, work it."""
7/17/2013 20:07,2.1117,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/18/2013 21:18,-0.8883,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/19/2013 22:29,-3.8883,-74.413963,Awesome interns!,"""Work it baby, work it."""
7/20/2013 23:40,-6.8883,-73.392234,Awesome interns!,"""Uh, uh, uh. Work it."""
7/22/2013 0:51,-9.8883,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/23/2013 2:02,-12.8883,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/24/2013 3:13,-15.8883,-74.413963,Awesome interns!,"""Work it baby, work it."""
7/25/2013 4:24,-18.8883,-73.392234,Awesome interns!,"""Uh, uh, uh. Work it."""
7/26/2013 5:35,-21.8883,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/27/2013 6:46,-24.8883,-74.413963,Awesome interns!,"""Work it baby, work it."""
7/28/2013 7:57,-27.8883,-73.392234,Awesome interns!,"""Work it baby, work it."""
7/29/2013 9:08,-30.8883,-73.392234,Awesome interns!,"""Uh, uh, uh. Work it."""
7/30/2013 10:19,-33.8883,-73.392234,Awesome interns!,"""Work it baby, work it."""
